entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,AuditorsReportOnFinancialStatements,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,EmailOfReportingEntity,EmployeeBenefitsExpense,GrossProfitLoss,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,IdentificationOfAuditedFinancialStatements,IncomeFromInvestmentsInGroupEnterprisesAndAssociates,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherDisclosures,OtherFinanceExpenses,OtherFinanceIncome,OtherFinanceIncomeFromGroupEnterprises,OtherOperatingExpenses,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpenseOnOrdinaryActivities,TelephoneNumberOfReportingEntity,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,DeferredIncomeAssets,DepositsLongtermLiabilitiesOtherThanProvisions,Equity,FixturesFittingsToolsAndEquipment,LandAndBuildings,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInAssociates,LongtermInvestmentsInGroupEnterprises,LongtermLiabilitiesOtherThanProvisions,LongtermMortgageDebt,NoncurrentAssets,OtherShorttermInvestments,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,ProposedDividendRecognisedInEquity,Provisions,ProvisionsForDeferredTax,RetainedEarnings,ShorttermDeferredIncome,ShorttermInvestments,ShorttermLiabilitiesOtherThanProvisions,ShorttermPartOfLongtermLiabilitiesOtherThanProvisions,ShorttermPrepaymentsReceivedFromCustomers,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayables,ShorttermTradePayables,ShorttermTradeReceivables,NameAndSurnameOfMemberOfSupervisoryBoard,TitleOfMemberOfSupervisoryBoard,NameAndSurnameOfMemberOfExecutiveBoard
75106718,2015-01-01,2015-12-31,ID_13,,http://regnskaber.virk.dk/81760157/ZG9rdW1lbnRsYWdlcjovLzAzLzMzLzNkLzAzLzQ2LzQ3YjAtNDJjOC1hNTkzLWZlOGU0YTk4Y2MzMg.pdf,http://regnskaber.virk.dk/81760157/ZG9rdW1lbnRsYWdlcjovLzAzLzg3LzRhL2QwLzBhL2E5NTQtNDBmMC1hY2NiLWFlZWRhODAwMWEyNw.xml,"4700, NÃ¦stved",Vadestedet 6,To the shareholders of Stevns Leasing AS,Report on the Financial Statements,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2015 and of the results of the Company's operations for the financial year 1 January 2015 - 31 December 2015.",2016-02-05,1984-01-01,2016-02-18,1720505.0,stevns-leasing@mail.dk,614149.0,2735925.0,75106718.0,27433863.0,"Today, Management has considered and adopted the Annual Report of Stevns Leasing AS for the financial year 1 January 2015 - 31 December 2015.","We have audited the Financial Statements of Stevns Leasing AS for the financial year 1 January 2015 - 31 December 2015 comprising Accounting Policies, Income Statement, Balance Sheet and Notes. The Annual Report is presented in accordance with the Danish Financial Statements Act.",0.0,Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Finn MÃ¸ller,Danske Bank,Stevns Leasing AS,"Revision Vadestedet , Godkendt Revisionsaktieselskab",9. Text note,915820.0,647248.0,11953.0,60718.0,"Store Heddinge, 5 February 2016",2014-01-01,2014-12-31,-4264.0,83934.0,340553.0,We recommend that the Annual Report be adopted at the Annual General Meeting.,"Stevns, 336",2015-12-31,2015-01-01,2016-02-05,NÃ¦stved,88198.0,40 42 27 33,RevisionspÃ¥tegning,urn:ofk:oid:22002808,indberetninger-20180424,2.5095978,75106718,,2018-03-28T20:50:59.693Z,2016-02-18T14:14:46.976Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AQ-55-QE,2016-02-18T14:14:47.113Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75106718,2015-01-01,2015-12-31,ID_15,,http://regnskaber.virk.dk/81760157/ZG9rdW1lbnRsYWdlcjovLzAzLzMzLzNkLzAzLzQ2LzQ3YjAtNDJjOC1hNTkzLWZlOGU0YTk4Y2MzMg.pdf,http://regnskaber.virk.dk/81760157/ZG9rdW1lbnRsYWdlcjovLzAzLzg3LzRhL2QwLzBhL2E5NTQtNDBmMC1hY2NiLWFlZWRhODAwMWEyNw.xml,"4700, NÃ¦stved",Vadestedet 6,To the shareholders of Stevns Leasing AS,Report on the Financial Statements,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2015 and of the results of the Company's operations for the financial year 1 January 2015 - 31 December 2015.",2016-02-05,1984-01-01,2016-02-18,,stevns-leasing@mail.dk,,,75106718.0,27433863.0,"Today, Management has considered and adopted the Annual Report of Stevns Leasing AS for the financial year 1 January 2015 - 31 December 2015.","We have audited the Financial Statements of Stevns Leasing AS for the financial year 1 January 2015 - 31 December 2015 comprising Accounting Policies, Income Statement, Balance Sheet and Notes. The Annual Report is presented in accordance with the Danish Financial Statements Act.",,Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Finn MÃ¸ller,Danske Bank,Stevns Leasing AS,"Revision Vadestedet , Godkendt Revisionsaktieselskab",9. Text note,,,,,"Store Heddinge, 5 February 2016",2014-01-01,2014-12-31,-50600.0,,,We recommend that the Annual Report be adopted at the Annual General Meeting.,"Stevns, 336",2015-12-31,2015-01-01,2016-02-05,NÃ¦stved,,40 42 27 33,RevisionspÃ¥tegning,urn:ofk:oid:22002808,indberetninger-20180424,2.5095978,75106718,,2018-03-28T20:50:59.693Z,2016-02-18T14:14:46.976Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AQ-55-QE,2016-02-18T14:14:47.113Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75106718,2015-01-01,2015-12-31,ID_17,,http://regnskaber.virk.dk/81760157/ZG9rdW1lbnRsYWdlcjovLzAzLzMzLzNkLzAzLzQ2LzQ3YjAtNDJjOC1hNTkzLWZlOGU0YTk4Y2MzMg.pdf,http://regnskaber.virk.dk/81760157/ZG9rdW1lbnRsYWdlcjovLzAzLzg3LzRhL2QwLzBhL2E5NTQtNDBmMC1hY2NiLWFlZWRhODAwMWEyNw.xml,"4700, NÃ¦stved",Vadestedet 6,To the shareholders of Stevns Leasing AS,Report on the Financial Statements,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2015 and of the results of the Company's operations for the financial year 1 January 2015 - 31 December 2015.",2016-02-05,1984-01-01,2016-02-18,,stevns-leasing@mail.dk,,,75106718.0,27433863.0,"Today, Management has considered and adopted the Annual Report of Stevns Leasing AS for the financial year 1 January 2015 - 31 December 2015.","We have audited the Financial Statements of Stevns Leasing AS for the financial year 1 January 2015 - 31 December 2015 comprising Accounting Policies, Income Statement, Balance Sheet and Notes. The Annual Report is presented in accordance with the Danish Financial Statements Act.",,Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Finn MÃ¸ller,Danske Bank,Stevns Leasing AS,"Revision Vadestedet , Godkendt Revisionsaktieselskab",9. Text note,,,,,"Store Heddinge, 5 February 2016",2014-01-01,2014-12-31,54864.0,,,We recommend that the Annual Report be adopted at the Annual General Meeting.,"Stevns, 336",2015-12-31,2015-01-01,2016-02-05,NÃ¦stved,,40 42 27 33,RevisionspÃ¥tegning,urn:ofk:oid:22002808,indberetninger-20180424,2.5095978,75106718,,2018-03-28T20:50:59.693Z,2016-02-18T14:14:46.976Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AQ-55-QE,2016-02-18T14:14:47.113Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75106718,2015-01-01,2015-12-31,ID_19,,http://regnskaber.virk.dk/81760157/ZG9rdW1lbnRsYWdlcjovLzAzLzMzLzNkLzAzLzQ2LzQ3YjAtNDJjOC1hNTkzLWZlOGU0YTk4Y2MzMg.pdf,http://regnskaber.virk.dk/81760157/ZG9rdW1lbnRsYWdlcjovLzAzLzg3LzRhL2QwLzBhL2E5NTQtNDBmMC1hY2NiLWFlZWRhODAwMWEyNw.xml,"4700, NÃ¦stved",Vadestedet 6,To the shareholders of Stevns Leasing AS,Report on the Financial Statements,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2015 and of the results of the Company's operations for the financial year 1 January 2015 - 31 December 2015.",2016-02-05,1984-01-01,2016-02-18,,stevns-leasing@mail.dk,,,75106718.0,27433863.0,"Today, Management has considered and adopted the Annual Report of Stevns Leasing AS for the financial year 1 January 2015 - 31 December 2015.","We have audited the Financial Statements of Stevns Leasing AS for the financial year 1 January 2015 - 31 December 2015 comprising Accounting Policies, Income Statement, Balance Sheet and Notes. The Annual Report is presented in accordance with the Danish Financial Statements Act.",,Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Finn MÃ¸ller,Danske Bank,Stevns Leasing AS,"Revision Vadestedet , Godkendt Revisionsaktieselskab",9. Text note,,,,,"Store Heddinge, 5 February 2016",2014-01-01,2014-12-31,4264.0,,,We recommend that the Annual Report be adopted at the Annual General Meeting.,"Stevns, 336",2015-12-31,2015-01-01,2016-02-05,NÃ¦stved,,40 42 27 33,RevisionspÃ¥tegning,urn:ofk:oid:22002808,indberetninger-20180424,2.5095978,75106718,,2018-03-28T20:50:59.693Z,2016-02-18T14:14:46.976Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AQ-55-QE,2016-02-18T14:14:47.113Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75106718,2015-01-01,2015-12-31,ID_2,,http://regnskaber.virk.dk/81760157/ZG9rdW1lbnRsYWdlcjovLzAzLzMzLzNkLzAzLzQ2LzQ3YjAtNDJjOC1hNTkzLWZlOGU0YTk4Y2MzMg.pdf,http://regnskaber.virk.dk/81760157/ZG9rdW1lbnRsYWdlcjovLzAzLzg3LzRhL2QwLzBhL2E5NTQtNDBmMC1hY2NiLWFlZWRhODAwMWEyNw.xml,"4700, NÃ¦stved",Vadestedet 6,To the shareholders of Stevns Leasing AS,Report on the Financial Statements,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2015 and of the results of the Company's operations for the financial year 1 January 2015 - 31 December 2015.",2016-02-05,1984-01-01,2016-02-18,,stevns-leasing@mail.dk,,,75106718.0,27433863.0,"Today, Management has considered and adopted the Annual Report of Stevns Leasing AS for the financial year 1 January 2015 - 31 December 2015.","We have audited the Financial Statements of Stevns Leasing AS for the financial year 1 January 2015 - 31 December 2015 comprising Accounting Policies, Income Statement, Balance Sheet and Notes. The Annual Report is presented in accordance with the Danish Financial Statements Act.",,Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Finn MÃ¸ller,Danske Bank,Stevns Leasing AS,"Revision Vadestedet , Godkendt Revisionsaktieselskab",9. Text note,,,,,"Store Heddinge, 5 February 2016",2014-01-01,2014-12-31,,,,We recommend that the Annual Report be adopted at the Annual General Meeting.,"Stevns, 336",2015-12-31,2015-01-01,2016-02-05,NÃ¦stved,,40 42 27 33,RevisionspÃ¥tegning,urn:ofk:oid:22002808,indberetninger-20180424,2.5095978,75106718,,2018-03-28T20:50:59.693Z,2016-02-18T14:14:46.976Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AQ-55-QE,2016-02-18T14:14:47.113Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75106718,2015-01-01,2015-12-31,ID_23,,http://regnskaber.virk.dk/81760157/ZG9rdW1lbnRsYWdlcjovLzAzLzMzLzNkLzAzLzQ2LzQ3YjAtNDJjOC1hNTkzLWZlOGU0YTk4Y2MzMg.pdf,http://regnskaber.virk.dk/81760157/ZG9rdW1lbnRsYWdlcjovLzAzLzg3LzRhL2QwLzBhL2E5NTQtNDBmMC1hY2NiLWFlZWRhODAwMWEyNw.xml,"4700, NÃ¦stved",Vadestedet 6,To the shareholders of Stevns Leasing AS,Report on the Financial Statements,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2015 and of the results of the Company's operations for the financial year 1 January 2015 - 31 December 2015.",2016-02-05,1984-01-01,2016-02-18,,stevns-leasing@mail.dk,,,75106718.0,27433863.0,"Today, Management has considered and adopted the Annual Report of Stevns Leasing AS for the financial year 1 January 2015 - 31 December 2015.","We have audited the Financial Statements of Stevns Leasing AS for the financial year 1 January 2015 - 31 December 2015 comprising Accounting Policies, Income Statement, Balance Sheet and Notes. The Annual Report is presented in accordance with the Danish Financial Statements Act.",,Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Finn MÃ¸ller,Danske Bank,Stevns Leasing AS,"Revision Vadestedet , Godkendt Revisionsaktieselskab",9. Text note,,,,,"Store Heddinge, 5 February 2016",2014-01-01,2014-12-31,,,,We recommend that the Annual Report be adopted at the Annual General Meeting.,"Stevns, 336",2015-12-31,2015-01-01,2016-02-05,NÃ¦stved,,40 42 27 33,RevisionspÃ¥tegning,urn:ofk:oid:22002808,indberetninger-20180424,2.5095978,75106718,,2018-03-28T20:50:59.693Z,2016-02-18T14:14:46.976Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AQ-55-QE,2016-02-18T14:14:47.113Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75106718,2015-01-01,2015-12-31,ID_24,,http://regnskaber.virk.dk/81760157/ZG9rdW1lbnRsYWdlcjovLzAzLzMzLzNkLzAzLzQ2LzQ3YjAtNDJjOC1hNTkzLWZlOGU0YTk4Y2MzMg.pdf,http://regnskaber.virk.dk/81760157/ZG9rdW1lbnRsYWdlcjovLzAzLzg3LzRhL2QwLzBhL2E5NTQtNDBmMC1hY2NiLWFlZWRhODAwMWEyNw.xml,"4700, NÃ¦stved",Vadestedet 6,To the shareholders of Stevns Leasing AS,Report on the Financial Statements,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2015 and of the results of the Company's operations for the financial year 1 January 2015 - 31 December 2015.",2016-02-05,1984-01-01,2016-02-18,,stevns-leasing@mail.dk,,,75106718.0,27433863.0,"Today, Management has considered and adopted the Annual Report of Stevns Leasing AS for the financial year 1 January 2015 - 31 December 2015.","We have audited the Financial Statements of Stevns Leasing AS for the financial year 1 January 2015 - 31 December 2015 comprising Accounting Policies, Income Statement, Balance Sheet and Notes. The Annual Report is presented in accordance with the Danish Financial Statements Act.",,Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Finn MÃ¸ller,Danske Bank,Stevns Leasing AS,"Revision Vadestedet , Godkendt Revisionsaktieselskab",9. Text note,,,,,"Store Heddinge, 5 February 2016",2014-01-01,2014-12-31,,,,We recommend that the Annual Report be adopted at the Annual General Meeting.,"Stevns, 336",2015-12-31,2015-01-01,2016-02-05,NÃ¦stved,,40 42 27 33,RevisionspÃ¥tegning,urn:ofk:oid:22002808,indberetninger-20180424,2.5095978,75106718,,2018-03-28T20:50:59.693Z,2016-02-18T14:14:46.976Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AQ-55-QE,2016-02-18T14:14:47.113Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75106718,2015-01-01,2015-12-31,ID_25,,http://regnskaber.virk.dk/81760157/ZG9rdW1lbnRsYWdlcjovLzAzLzMzLzNkLzAzLzQ2LzQ3YjAtNDJjOC1hNTkzLWZlOGU0YTk4Y2MzMg.pdf,http://regnskaber.virk.dk/81760157/ZG9rdW1lbnRsYWdlcjovLzAzLzg3LzRhL2QwLzBhL2E5NTQtNDBmMC1hY2NiLWFlZWRhODAwMWEyNw.xml,"4700, NÃ¦stved",Vadestedet 6,To the shareholders of Stevns Leasing AS,Report on the Financial Statements,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2015 and of the results of the Company's operations for the financial year 1 January 2015 - 31 December 2015.",2016-02-05,1984-01-01,2016-02-18,,stevns-leasing@mail.dk,,,75106718.0,27433863.0,"Today, Management has considered and adopted the Annual Report of Stevns Leasing AS for the financial year 1 January 2015 - 31 December 2015.","We have audited the Financial Statements of Stevns Leasing AS for the financial year 1 January 2015 - 31 December 2015 comprising Accounting Policies, Income Statement, Balance Sheet and Notes. The Annual Report is presented in accordance with the Danish Financial Statements Act.",,Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Finn MÃ¸ller,Danske Bank,Stevns Leasing AS,"Revision Vadestedet , Godkendt Revisionsaktieselskab",9. Text note,,,,,"Store Heddinge, 5 February 2016",2014-01-01,2014-12-31,,,,We recommend that the Annual Report be adopted at the Annual General Meeting.,"Stevns, 336",2015-12-31,2015-01-01,2016-02-05,NÃ¦stved,,40 42 27 33,RevisionspÃ¥tegning,urn:ofk:oid:22002808,indberetninger-20180424,2.5095978,75106718,,2018-03-28T20:50:59.693Z,2016-02-18T14:14:46.976Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AQ-55-QE,2016-02-18T14:14:47.113Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75106718,2015-01-01,2015-12-31,ID_26,,http://regnskaber.virk.dk/81760157/ZG9rdW1lbnRsYWdlcjovLzAzLzMzLzNkLzAzLzQ2LzQ3YjAtNDJjOC1hNTkzLWZlOGU0YTk4Y2MzMg.pdf,http://regnskaber.virk.dk/81760157/ZG9rdW1lbnRsYWdlcjovLzAzLzg3LzRhL2QwLzBhL2E5NTQtNDBmMC1hY2NiLWFlZWRhODAwMWEyNw.xml,"4700, NÃ¦stved",Vadestedet 6,To the shareholders of Stevns Leasing AS,Report on the Financial Statements,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2015 and of the results of the Company's operations for the financial year 1 January 2015 - 31 December 2015.",2016-02-05,1984-01-01,2016-02-18,,stevns-leasing@mail.dk,,,75106718.0,27433863.0,"Today, Management has considered and adopted the Annual Report of Stevns Leasing AS for the financial year 1 January 2015 - 31 December 2015.","We have audited the Financial Statements of Stevns Leasing AS for the financial year 1 January 2015 - 31 December 2015 comprising Accounting Policies, Income Statement, Balance Sheet and Notes. The Annual Report is presented in accordance with the Danish Financial Statements Act.",,Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Finn MÃ¸ller,Danske Bank,Stevns Leasing AS,"Revision Vadestedet , Godkendt Revisionsaktieselskab",9. Text note,,,,,"Store Heddinge, 5 February 2016",2014-01-01,2014-12-31,,,,We recommend that the Annual Report be adopted at the Annual General Meeting.,"Stevns, 336",2015-12-31,2015-01-01,2016-02-05,NÃ¦stved,,40 42 27 33,RevisionspÃ¥tegning,urn:ofk:oid:22002808,indberetninger-20180424,2.5095978,75106718,,2018-03-28T20:50:59.693Z,2016-02-18T14:14:46.976Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AQ-55-QE,2016-02-18T14:14:47.113Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75106718,2015-01-01,2015-12-31,ID_27,,http://regnskaber.virk.dk/81760157/ZG9rdW1lbnRsYWdlcjovLzAzLzMzLzNkLzAzLzQ2LzQ3YjAtNDJjOC1hNTkzLWZlOGU0YTk4Y2MzMg.pdf,http://regnskaber.virk.dk/81760157/ZG9rdW1lbnRsYWdlcjovLzAzLzg3LzRhL2QwLzBhL2E5NTQtNDBmMC1hY2NiLWFlZWRhODAwMWEyNw.xml,"4700, NÃ¦stved",Vadestedet 6,To the shareholders of Stevns Leasing AS,Report on the Financial Statements,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2015 and of the results of the Company's operations for the financial year 1 January 2015 - 31 December 2015.",2016-02-05,1984-01-01,2016-02-18,,stevns-leasing@mail.dk,,,75106718.0,27433863.0,"Today, Management has considered and adopted the Annual Report of Stevns Leasing AS for the financial year 1 January 2015 - 31 December 2015.","We have audited the Financial Statements of Stevns Leasing AS for the financial year 1 January 2015 - 31 December 2015 comprising Accounting Policies, Income Statement, Balance Sheet and Notes. The Annual Report is presented in accordance with the Danish Financial Statements Act.",,Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Finn MÃ¸ller,Danske Bank,Stevns Leasing AS,"Revision Vadestedet , Godkendt Revisionsaktieselskab",9. Text note,,,,,"Store Heddinge, 5 February 2016",2014-01-01,2014-12-31,,,,We recommend that the Annual Report be adopted at the Annual General Meeting.,"Stevns, 336",2015-12-31,2015-01-01,2016-02-05,NÃ¦stved,,40 42 27 33,RevisionspÃ¥tegning,urn:ofk:oid:22002808,indberetninger-20180424,2.5095978,75106718,,2018-03-28T20:50:59.693Z,2016-02-18T14:14:46.976Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AQ-55-QE,2016-02-18T14:14:47.113Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75106718,2015-01-01,2015-12-31,ID_3,,http://regnskaber.virk.dk/81760157/ZG9rdW1lbnRsYWdlcjovLzAzLzMzLzNkLzAzLzQ2LzQ3YjAtNDJjOC1hNTkzLWZlOGU0YTk4Y2MzMg.pdf,http://regnskaber.virk.dk/81760157/ZG9rdW1lbnRsYWdlcjovLzAzLzg3LzRhL2QwLzBhL2E5NTQtNDBmMC1hY2NiLWFlZWRhODAwMWEyNw.xml,"4700, NÃ¦stved",Vadestedet 6,To the shareholders of Stevns Leasing AS,Report on the Financial Statements,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2015 and of the results of the Company's operations for the financial year 1 January 2015 - 31 December 2015.",2016-02-05,1984-01-01,2016-02-18,,stevns-leasing@mail.dk,,,75106718.0,27433863.0,"Today, Management has considered and adopted the Annual Report of Stevns Leasing AS for the financial year 1 January 2015 - 31 December 2015.","We have audited the Financial Statements of Stevns Leasing AS for the financial year 1 January 2015 - 31 December 2015 comprising Accounting Policies, Income Statement, Balance Sheet and Notes. The Annual Report is presented in accordance with the Danish Financial Statements Act.",,Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Finn MÃ¸ller,Danske Bank,Stevns Leasing AS,"Revision Vadestedet , Godkendt Revisionsaktieselskab",9. Text note,,,,,"Store Heddinge, 5 February 2016",2014-01-01,2014-12-31,,,,We recommend that the Annual Report be adopted at the Annual General Meeting.,"Stevns, 336",2015-12-31,2015-01-01,2016-02-05,NÃ¦stved,,40 42 27 33,RevisionspÃ¥tegning,urn:ofk:oid:22002808,indberetninger-20180424,2.5095978,75106718,,2018-03-28T20:50:59.693Z,2016-02-18T14:14:46.976Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AQ-55-QE,2016-02-18T14:14:47.113Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marlene Maria Drost,Board Member,
75106718,2015-01-01,2015-12-31,ID_4,,http://regnskaber.virk.dk/81760157/ZG9rdW1lbnRsYWdlcjovLzAzLzMzLzNkLzAzLzQ2LzQ3YjAtNDJjOC1hNTkzLWZlOGU0YTk4Y2MzMg.pdf,http://regnskaber.virk.dk/81760157/ZG9rdW1lbnRsYWdlcjovLzAzLzg3LzRhL2QwLzBhL2E5NTQtNDBmMC1hY2NiLWFlZWRhODAwMWEyNw.xml,"4700, NÃ¦stved",Vadestedet 6,To the shareholders of Stevns Leasing AS,Report on the Financial Statements,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2015 and of the results of the Company's operations for the financial year 1 January 2015 - 31 December 2015.",2016-02-05,1984-01-01,2016-02-18,,stevns-leasing@mail.dk,,,75106718.0,27433863.0,"Today, Management has considered and adopted the Annual Report of Stevns Leasing AS for the financial year 1 January 2015 - 31 December 2015.","We have audited the Financial Statements of Stevns Leasing AS for the financial year 1 January 2015 - 31 December 2015 comprising Accounting Policies, Income Statement, Balance Sheet and Notes. The Annual Report is presented in accordance with the Danish Financial Statements Act.",,Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Finn MÃ¸ller,Danske Bank,Stevns Leasing AS,"Revision Vadestedet , Godkendt Revisionsaktieselskab",9. Text note,,,,,"Store Heddinge, 5 February 2016",2014-01-01,2014-12-31,,,,We recommend that the Annual Report be adopted at the Annual General Meeting.,"Stevns, 336",2015-12-31,2015-01-01,2016-02-05,NÃ¦stved,,40 42 27 33,RevisionspÃ¥tegning,urn:ofk:oid:22002808,indberetninger-20180424,2.5095978,75106718,,2018-03-28T20:50:59.693Z,2016-02-18T14:14:46.976Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AQ-55-QE,2016-02-18T14:14:47.113Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finn Michael MÃ¸ller
